DataType,SortType,ArraySize,Threshold,Time_us
Random,Hybrid,15000,5,713.4
Random,Hybrid,15000,10,652.2
Random,Hybrid,15000,20,594.6
Random,Hybrid,15000,30,558.8
Random,Hybrid,15000,50,684.6
Random,Hybrid,15000,100,512.8
Reversed,Standard,15000,0,424.4
Reversed,Hybrid,15000,5,221.2
Reversed,Hybrid,15000,10,177
Reversed,Hybrid,15000,20,157.6
Reversed,Hybrid,15000,30,170.2
Reversed,Hybrid,15000,50,173.2
Reversed,Hybrid,15000,100,220.4
AlmostSorted,Standard,15000,0,528.2
AlmostSorted,Hybrid,15000,5,226.8
AlmostSorted,Hybrid,15000,10,181.8
AlmostSorted,Hybrid,15000,20,154.4
AlmostSorted,Hybrid,15000,30,125.2
AlmostSorted,Hybrid,15000,50,126
AlmostSorted,Hybrid,15000,100,112.4
Random,Standard,15500,0,993.2
Random,Hybrid,15500,5,728.2
Random,Hybrid,15500,10,724.6
Random,Hybrid,15500,20,606.6
Random,Hybrid,15500,30,591.6
Random,Hybrid,15500,50,574.4
Random,Hybrid,15500,100,563.6
Reversed,Standard,15500,0,457.4
Reversed,Hybrid,15500,5,222.6
Reversed,Hybrid,15500,10,183.2
Reversed,Hybrid,15500,20,163.4
Reversed,Hybrid,15500,30,172.4
Reversed,Hybrid,15500,50,205.8
Reversed,Hybrid,15500,100,249.6
AlmostSorted,Standard,15500,0,457.2
AlmostSorted,Hybrid,15500,5,235
AlmostSorted,Hybrid,15500,10,181.6
AlmostSorted,Hybrid,15500,20,145.8
AlmostSorted,Hybrid,15500,30,153.8
AlmostSorted,Hybrid,15500,50,148.8
AlmostSorted,Hybrid,15500,100,112.2
Random,Standard,16000,0,1018
Random,Hybrid,16000,5,741
Random,Hybrid,16000,10,681.6
Random,Hybrid,16000,20,632.2
Random,Hybrid,16000,30,623.8
Random,Hybrid,16000,50,588
Random,Hybrid,16000,100,596.6
Reversed,Standard,16000,0,459.2
Reversed,Hybrid,16000,5,225.4
Reversed,Hybrid,16000,10,197.6
Reversed,Hybrid,16000,20,185.6
Reversed,Hybrid,16000,30,169.6
Reversed,Hybrid,16000,50,186.4
Reversed,Hybrid,16000,100,252.4
AlmostSorted,Standard,16000,0,470
AlmostSorted,Hybrid,16000,5,238.4
AlmostSorted,Hybrid,16000,10,179.4
AlmostSorted,Hybrid,16000,20,149.8
AlmostSorted,Hybrid,16000,30,150.4
AlmostSorted,Hybrid,16000,50,148
AlmostSorted,Hybrid,16000,100,116.6
Random,Standard,16500,0,1077.6
Random,Hybrid,16500,5,765.6
Random,Hybrid,16500,10,691.8
Random,Hybrid,16500,20,652.6
Random,Hybrid,16500,30,645.2
Random,Hybrid,16500,50,600
Random,Hybrid,16500,100,571.4
Reversed,Standard,16500,0,572.8
Reversed,Hybrid,16500,5,234.6
Reversed,Hybrid,16500,10,190.8
Reversed,Hybrid,16500,20,194.8
Reversed,Hybrid,16500,30,177.2
Reversed,Hybrid,16500,50,193.8
Reversed,Hybrid,16500,100,268.4
AlmostSorted,Standard,16500,0,504.8
AlmostSorted,Hybrid,16500,5,235.4
AlmostSorted,Hybrid,16500,10,215
AlmostSorted,Hybrid,16500,20,154.8
AlmostSorted,Hybrid,16500,30,150.8
AlmostSorted,Hybrid,16500,50,141
AlmostSorted,Hybrid,16500,100,120.2
Random,Standard,17000,0,1102.2
Random,Hybrid,17000,5,828.8
Random,Hybrid,17000,10,723.8
Random,Hybrid,17000,20,676.4
Random,Hybrid,17000,30,666
Random,Hybrid,17000,50,632.2
Random,Hybrid,17000,100,625.8
Reversed,Standard,17000,0,492.8
Reversed,Hybrid,17000,5,243
Reversed,Hybrid,17000,10,222.8
Reversed,Hybrid,17000,20,183
Reversed,Hybrid,17000,30,188
